ocid,tender_id,title,description,status,buyer_name,value_gbp,currency,deadline,proc_method,cpv
ocds-h6vhtk-05e030,ITTN513,Commissioning Homes for Children Looked After & Care Leavers PDPS - Lot 4 Rd 5,"The London Borough of Newham wishes to establish a Pseudo-Dynamic Purchasing System (PDPS) for the supply of services in respect of children's externally commissioned care, accommodation and support services. The services include:
Lot 1: Provision of Semi-Independent Living Services - already established
Lot 2: Provision of Children's Homes regulated by Ofsted - already established
Lot 3: Provision of Supported Lodgings
Lot 4: Provision of Independent Fostering Agencies (IFA) regulated by Ofsted
These services will be available to looked after children, care leavers and young people who are homeless or at risk of homelessness .
Potential Suppliers are invited to Tender for one or more of the Lots.
This PDPS is open for use to the following (and subject to Section 3 Scope of Agreement of LAC PDPS Agreement Processor):
• any Public Body outlined in either Part I or Part II of the Local Authorities (Goods and Services) (Public Bodies) Order 1972. Details of these can be found at http://www.legislation.gov.uk/uksi/1972/853/made
The Procurement is being procured by the Authority for the benefit of the Authority and the Partner Organisations.
The procurement is being conducted in accordance with the Public Contracts Regulations 2015. The procurement is subject to the light-touch regime under Section 7 Social and Other Specific Services. Under Regulation 76 the Council is free to establish a procedure, provided that procedure is sufficient to ensure compliance with the principles of transparency and equal treatment of economic operators (Suppliers).
The Authority has created a tender process outlined below, as part of the PDPS applying the award criteria specified in this contract notice.
Any interested organisation/consortium with relevant experience may submit a Bid in response to this ITT.
The Council is using the one stage procedure for admission onto the PDPS
The Light Touch PDPS will be conducted in staged Rounds. The initial Round for Lot 3 and Lot 4 for this Light Touch PDPS will close on 20/05/2022.
Rounds will open and close throughout the lifetime of the PDPS at the Authorities discretion. The initial Round for Lot 3 and lot 4 for this PDPS will be open for 52 calendar days. Following on from this, each Round will be open to new or previously unsuccessful Suppliers to submit their bid. A new Round will be opened within 48 hours (excluding bank holidays and weekends) of a Round closing. Please note from time to time there may be a further delay in opening a new Round within the stated 48 hours.
This means that applications can be submitted throughout the duration of the PDPS, but the Council will only process the applications as and when the round is closed. Please note the length of Rounds will vary throughout the lifetime of the PDPS.
The Council intends to publish further opportunities as part of its Rounds, during the lifetime of the PDPS, relating to Children's commissioned care, accommodation and support services, for example the Provision of Supported Lodgings and the Provision of Independent Fostering Agencies (IFA) regulated by Ofsted.
Further Rounds will be communicated within the tender documents at time of publication. Any changes to the procurement Timetable shall be notified to all Tenderers as soon as practicable
A Supplier wanting to join the PDPS will be required to apply through the Council's procurement e-tendering portal; Fusion.
Suppliers who are unsuccessful in a specific Round may apply to be admitted to the PDPS in a subsequent or later Round
The Council will add Potential Suppliers to the PDPS throughout its duration, providing Potential Suppliers meet the requirement as outlined in the ITT and submit an Application, which is found to be compliant.
Please see Additional Information in Section VI for timescale and value of the PDPS.",active,London Borough of Newham,,,2026-03-23T12:00:00Z,open,Health and social work services
ocds-h6vhtk-05e017,2099FXPLUS,Guttering & Downpipe Clearing Services,Falmouth Exeter Plus (FXPlus) is looking to appoint a single contractor to carry out guttering and down pipe clearing 2 x yearly across the Falmouth/Penryn campuses. Initial contract of 36 months with the option to extend for a further 2 x 12 months.,active,Falmouth Exeter Plus,110000.0,GBP,2025-12-18T12:00:00Z,open,Repair and maintenance services
ocds-h6vhtk-05e00d,2097FXPLUS,"Automatic Doors, Roller Shutters and Barriers Servicing and Maintenance","Falmouth Exeter Plus (FXPlus) is looking to appoint a single contractor to carry out the servicing and maintenance of the automatic doors, roller shutter doors and barriers across the Penryn and Falmouth campuses.",active,Falmouth Exeter Plus,,,2026-01-16T12:00:00Z,open,Repair and maintenance services
ocds-h6vhtk-05dff8,C400909,Outsourced Provision of Multiple Clinical Services NLAG,"NHS Humber Health Partnership intends to follow the most suitable provider process for the provision of Multiple Clinical Services for patients in the North and North East Lincolnshire area.  The intention is to publish this notice so providers who can deliver all of these services are able to express their interest. <br/><br/>Proposed length of contract and estimated value<br/>The intention is to award a contract from 15/12/2026 to 31/03/2026 with options to extend for 3 months.<br/><br/>Based on current activity levels and requirements the maximum estimated contract value is approximately £225,000<br/><br/>Service requirements<br/>The Provider must provide the following clinical services:<br/>	Orthopaedic surgery<br/>	Urology procedures<br/>	<br/>The provider must <br/>	Have a minimum of 2 theatres<br/>Be able to mobilise the services and provide capacity within 2 weeks of confirmation of award<br/>Be able a local provider to minimise transport for patients for mobility and financial reasons.<br/>	Have access to diagnostics (including x-ray, CT and MRI)<br/>	Employ Staff locally with opportunities for apprenticeship<br/>	Be CQC registered<br/>	Provide plans to be carbon neutral by 2040<br/>	Provide modern slavery policies<br/><br/>Only providers who are able to provide all the appropriately qualified, experienced and skilled staff will be considered. This is a key requirement. All staff must have the suitable skills, qualifications and competencies to undertake the specified work.  All staff who work under the provider must possess the appropriate qualification/certification, Enhanced Disclosure and Barring Service (DBS) check and possess prior NHS experience. All patients need to be treated in line with accepted national standards and NICE guidance. <br/><br/>CPV Codes <br/>85111101-1 	Surgical hospital services<br/>85121280-9	Ophthalmologist, dermatology or orthopaedics services<br/>85121292-6	Urologist services<br/><br/>Full specification/requirements are available in the documents that can be accessed in the Atamis e-procurement portal.",active,Northern Lincolnshire and Goole NHS Foundation Trust,225000.0,GBP,2025-11-26T17:00:00Z,selective,Health services
ocds-h6vhtk-05dff5,C400681,Outsourced Provision of Multiple Clinical Services HUTH,"PSR MSP process for Outsourced Multiple Clinical Services HUTH<br/>NHS Humber Health Partnership intends to follow the most suitable provider process for the provision of Multiple Clinical Services for patients in the Hull and East Riding area. The intention is to publish this notice so providers who can deliver all of these services are able to express their interest.<br/><br/>The Provider must provide the following clinical services:<br/>Orthopaedic surgery<br/>Gynaecology surgery<br/>Neurology outpatient and some treatments<br/>Endoscopic procedures<br/>Breast (chest wall surgery)<br/>Urology procedures<br/>Cardiology Echo and Holter examinations<br/>Spinal surgery<br/>ENT procedures<br/>Dermatology outpatient and minor procedures<br/>Plastics<br/><br/>The provider must<br/>Have a minimum of 2 theatres<br/>Be able to mobilise the services and provide capacity within 2 weeks of confirmation of award<br/>Be able a local provider to minimise transport for patients for mobility and financial reasons.<br/>Have Fixed site diagnostics (including xray, CT and MRI)<br/>Employ Staff locally with opportunities for apprenticeship<br/>Be CQC registered<br/>Provide plans to be carbon neutral by 2040<br/>Provide modern slavery policies<br/><br/>Only providers who are able to provide all the appropriately qualified, experienced and skilled staff will be considered. This is a key requirement. All staff must have the suitable skills, qualifications and competencies to undertake the specified work. All staff who work under the provider must possess the appropriate qualification/certification, Enhanced Disclosure and Barring Service (DBS) check and possess prior NHS experience. All patients need to be treated in line with accepted national standards and NICE guidance.<br/><br/>CPV Codes<br/>85100000-0 Health Services<br/>85111101-1 Surgical hospital services<br/>85111200-2 Medical hospital services<br/>85121280-9 Ophthalmologist, dermatology or orthopaedics services<br/>85111300-3 Gynaecological services<br/>85121251-7 Gastroenterologist services<br/>85121231-1 Cardiology services<br/>85121292-6 Urologist services<br/>85121282-3 Dermatology services<br/>85121291-09 Paediatric services<br/><br/>Full specification/requirements are available in the documents that can be accessed in the Atamis e-procurement portal.",active,Hull University Teaching Hospitals NHS Trust,1300000.0,GBP,2025-11-26T17:00:00Z,selective,Health services
ocds-h6vhtk-05dfe7,ESP: 4940,Tollcross Housing Association Ltd. Open Space Maintenance Contract 2026-2029,Tollcross Housing Association Ltd. intends to enter into a contract with a single Main Contractor who will undertake all Open Space Maintenance to various locations in the Tollcross area of Glasgow.,active,Tollcross Housing Association Ltd.,,,2025-12-12T12:00:00Z,selective,Landscape gardening services
ocds-h6vhtk-05dfd0,CRN00041809,Management and Distribution of Free Period Products,Management and Distribution of Free Period Products,active,Aberdeen City Council,,,2025-12-12T12:00:00Z,open,Adult and other education services
ocds-h6vhtk-05dfc7,SQA2543,Question Paper Printing & Collation,Printing and collation of SQA exam papers,active,Scottish Qualifications Authority,400000,GBP,2026-01-14T12:00:00Z,open,Printing services
ocds-h6vhtk-05dfc6,35503,Website Upgrade,"SRUC is looking to update its current external website CMS, Umbraco, to the latest version available as well as rebuild elements within it in order to take full advantage of the updated system.
Key objectives for this contract include, but are not limited to:
1 mitigation of cyber security risk;
2 enhanced website performance;
3 improved user experience and accessibility;
4 improved brand consistency, uniformity, and alignment site-wide best value for money in terms of acquisition and maintenance of the upgraded website;
5 a solution that supports SRUC’s net zero aspirations and Scope 3 carbon reporting.",active,SRUC,300000,GBP,2025-12-16T12:00:00Z,open,Software supply services
ocds-h6vhtk-05df8f,ocds-h6vhtk-05df8f,Kenneth More Theatre – RAAC,Replacement of the RAAC roof,active,London Borough of Redbridge ,1200000,GBP,2025-12-10,selective,Construction work
ocds-h6vhtk-02b0d7,RM6241,Housing Maintenance & Repair,"This dynamic purchasing system (DPS) provides a compliant, one stop shop for all aspects of housing maintenance & repair for both tenanted and void/vacant properties. Featuring a vast range of both planned and reactive maintenance & repair services, the agreement also provides access to essential compliance services such as fire safety, electrical testing & asbestos management.

        
It can help achieve Net Zero goals with PAS 2030/35 certified suppliers offering Whole Home Retrofit services and it also features Housing Portfolio Management, for customers looking to manage their housing stock and handle areas such as move ins/outs, disposals and put in place a centralised service to manage and fulfil repair requests.",active,The Minister for the Cabinet Office acting through Crown Commercial Service,1500000000,GBP,2029-02-23T23:59:00Z,selective,Repair and maintenance services
ocds-h6vhtk-05df4d,1166C,Provision of School Transport Services – Mull (1166C),Argyll and Bute Council are looking to Contract with a transport operator who will provide safe and secure school transport on Mull.,active,Argyll and Bute Council,,,2025-12-12T12:00:00Z,open,Transport services (excl. Waste transport)
ocds-h6vhtk-05df19,ocds-h6vhtk-05df19,Southampton Adults Alcohol & Drug Support Service,"Southampton City Council (""the Council"") invites Tenders from suitably qualified service providers (""Potential Suppliers"") for the provision of Southampton Adults Alcohol & Drug Support Service. This Procurement is being conducted in accordance with the Health Care Services (Provider Selection Regime) Regulations 2023 using the Competitive Procedure. The contract being procured is for the delivery of drug and alcohol treatment and support services. The successful supplier will deliver a full range of evidence-based interventions including harm reduction, psychosocial support, and multi-agency coordination, with pharmacological interventions provided under clinical governance. The services will operate within a recovery-oriented framework and will be person-centred, trauma-informed, and accessible to all residents of the city, including those with complex needs and those not yet ready to change their substance use. The term of the contract shall be 1st July 2026 until 30th June 2030 (i.e. 4 years) with the option to extend for up to a further period of 2 years (i.e. until 30th June 2032) at the sole discretion of the Council. The estimated contract value range is from £30,328,092 to £64,122,145 for the term of contract plus extension period. Explanation of this contract value range is provided in the procurement documentation.  
Suppliers interested in bidding should register with Proactis at: https://supplierlive.proactisp2p.com/Account/Login and search for the project using reference number SPR/1000755 or RFX/1000435 or REQ/1000435. The closing date for the submission of tenders is 12 noon, Thursday 11th December 2025.",active,Southampton City Council,,,2025-12-11T12:00:00Z,open,Health and social work services
ocds-h6vhtk-05df0b,CT1526,CT1526 Fuel Management System and Maintenance of Fleet Fuel Facilities,The City of Edinburgh Council have a requirement for the provision of a fuel management system and maintenance of fleet fuel facilities. The purpose of this contract is to put in place a multi-year arrangement. Please refer to the Tender documentation for more information.,active,The City of Edinburgh Council,,,2025-12-11T12:00:00Z,open,Fuel pumps
ocds-h6vhtk-05debf,OPEN2025455,Flexible Procurement Agreement for the Children and Young People's Framework,"The funding for children and young people's programmes intends to build an inclusive economy, where all children and young people have equal opportunities to realise their potential and be part of the region's future success.
To achieve this, the former North of Tyne Combined Authority launched a Children and Young People's Flexible Procurement Framework for delivery in the North of Tyne area and invited a wide range of organisations and providers including public and private sector, independent training organisations, Voluntary and Community Sector Organisations (VCSE) organisations and other stakeholders, to tender for a place on the Framework. Following the transition of North of Tyne Combined Authority to the North East Combined Authority, encompassing four additional local authority areas, the North East CA is now reopening this framework to enable procurement of activity across the full North East CA. 
The Flexible Procurement Framework will initially be utilised to procure providers for North East CA investment fund allocation for excellence in education and child poverty reduction programmes.",active,North East Combined Authority,,,2025-12-05T12:00:00Z,open,Welfare services for children and young people
ocds-h6vhtk-05dea0,CSCO25-646,Provision of Laundry Services on the Clyde,"CalMac Ferries Limited (CFL) as a subsidiary of David MacBrayne Limited is seeking to engage a suitably qualified and experienced Supplier to provide comprehensive laundry services to vessels operating across the Clyde. These vessels accommodate crew members on board and therefore require a reliable and high-quality solution for the regular cleaning, laundering, and pressing of crew bedding, linen, and towels.",active,CalMac Ferries Limited,,,2025-12-16T12:00:00Z,open,Laundry-collection services
ocds-h6vhtk-058e0d,ocds-h6vhtk-058e0d,Integration of NHS Primary Care Dental Services with Primary Medical Services Pilot,"THIS NOTICE IS NOT A CALL FOR COMPETITION. THIS NOTICE SUPPORTS THE MOST SUITABLE PROVIDER PROCESS CAMBRIDGESHIRE AND PETERBOROUGH ICB HAVE ALREADY UNDERTAKEN, AND IS REQUIRED TO BE ABLE TO PUBLISH THE CONTRACT AWARD NOTICE. A SUBSEQUENT CONTRACT AWARD NOTICE (INTENTION TO AWARD - F03) WILL BE PUBLISHED FOLLOWING THIS NOTICE. 
The awarding of this contract is subject to the Health Care Services (Provider Selection Regime) Regulations 2023. For the avoidance of doubt, the provisions of the Public Contracts Regulations 2015 do not apply to this award.
This service is a pilot that aims to develop, test, and evaluate a new model for delivering NHS Dental Services in collaboration between Dental and Primary Medical services, to improve access and outcomes for the most vulnerable patients identified from a GP Contractors registered list, in the Peterborough community.",active,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,210000,GBP,2025-11-12,selective,Dental practice and related services
ocds-h6vhtk-05de9e,CAV-CP-61136,Community and Psychological Support (CAPS) for Cardiff East Cluster,"The NHS Wales Shared Services Partnership, hosted by Velindre NHS Trust, are acting on behalf of Cardiff and Vale University Local Health Board who are seeking to award a contract for Community and Psychological Support (CAPS) for Cardiff East Cluster. This service aims to deliver an innovative, holistic model of care that integrates social prescribing with guided psychological self-help for individuals registered with one of the four GP practices in the East Cardiff Cluster. The CAPS initiative will support vulnerable and at-risk groups experiencing mild to moderate mental health issues through an 8-session intervention pathway, combining assessment, tailored self-help strategies, and relapse prevention. The service will be delivered by two full-time practitioners based in GP practices, working collaboratively with community partners to strengthen local networks and improve mental wellbeing. The provider will also be expected to support digital referral systems, attend cluster meetings, and embed principles of person-centred care, equality, and sustainability throughout service delivery.",active,NHS Wales Shared Services Partnership-Procurement Services (hosted by Velindre University NHS Trust),160000,GBP,2025-12-11T12:00:00Z,open,Community health services
ocds-h6vhtk-05de8a,C002132,Delivery and evaluation of CBT for staff working in CAMHS and IPT training for staff working in MH services inc CAMHS/AMS,"This tender will be broken down into two Lots. Suppliers may bid for individual Lots or both Lots.
The successful Provider(s) will be required to deliver;
Training Courses Required
Lot 1 - CBT
-Certificate Level
-Diploma Level
Lot 2 - IPT
-IPT Practitioner level with case supervision for 4 cases and inline with recent IPT UK revision
-IPT Supervision level with case supervision
-IPT Supervision level without case supervision",active,NHS Education for Scotland,,,2026-01-19T13:00:00Z,open,Education and training services
ocds-h6vhtk-05de79,ocds-h6vhtk-05de79,North Paddington Global Majority Mental Health Pilot,"Westminster City Council (WCC) is commissioning a pilot service to deliver culturally appropriate, community-led mental health support for Global Majority (GM) residents in the North Paddington wards of Queen's Park, Harrow Road, and Westbourne. This 18-month pilot, with a total pre-tendered budget of £280,000, aims to provide early-intervention psychological support, outreach and engagement activities, and workforce development through a train-the-trainer programme for local VCS organisations.",active,Westminster City Council,280000.0,GBP,2025-12-10T12:00:00Z,open,Psychiatrist or psychologist services
ocds-h6vhtk-059b43,AG25015,Community and School Aged Immunisation Service (CSAIS) in Birmingham and Solihull,"NHS Arden and Greater East Midlands Commissioning Support Unit (AGCSU) on behalf of NHS England Midlands (The Commissioner) would like to notify the market of an opportunity to provide a Community and School Aged Immunisation Service (CSAIS) in Birmingham and Solihull. <br/><br/>The service commencement date is 1 September 2026. The contract will be for an initial five-year term with the option to extend for a further two years under a NHS Standard Contract. The contract value is estimated to total £12.7m (including extensions) and a cost uplift factors (CUF) will apply from year one.<br/><br/>Please note, the deadline for responses to the Competitive Process is 12:00PM (Mid-day) on 12th December 2025.",active,NHS England,12700000.0,GBP,2025-12-12T12:00:00Z,open,Health services
ocds-h6vhtk-05ddd4,ocds-h6vhtk-05ddd4,Caledonia Housing Association - Landscape Maintenance 2026 - 2028 (East Site 4),"24 Month Landscape Maintenance Services Contract for areas owned by Caledonia Housing Association located in Perthshire, Dundee & Fife regions.",active,Caledonia Housing Association,,,2026-01-15T12:00:00Z,open,Grounds maintenance services
ocds-h6vhtk-04eb6c,C396063,Non-Acute Intermediate Care Beds Service for Harrow,"The provision of this service is for non-acute intermediate care beds service for Harrow. The purpose of the care beds is for a provider to provide coordinated rehabilitation and recovery for patients who require complex support from a range of professionals that cannot be managed in the patients home. The service must be easily accessible for patients, family and carers in the London Borough of Harrow.<br/><br/>The estimated dates between which this service is intended to be provided is for 12 months with the option to extend for 2 x 12 months (i.e., a one-year agreement that can be extended for two additional, separate one-year periods, if both parties agree). 3 years total contract length up to 20 July 2029.",active,NHS North West London Integrated Care Board,4625623.0,GBP,2025-12-10,open,Health services
ocds-h6vhtk-05dda0,RC-CPU-25-089,Single Building Assessment - Approved Assessor and Verifier,Renfrewshire Council has the requirement to appoint a Scottish Government Approved consultant to undertake up to 14 Single Building Assessments (SBA's) in accordance with the procedures set out in the Scottish Government Technical Guidance.,active,Renfrewshire Council,725000,GBP,2025-12-10T12:00:00Z,open,Building consultancy services
ocds-h6vhtk-05dd80,PROC-24-2681,PROC-24-2681 Supply of Rigid Plastic Containers & Lids and Suitable Trolley/Dolly,The Scottish Police Authority have a requirement for a single Contractor to supply and deliver rigid plastic containers and suitable trolley/dolly.,active,Scottish Police Authority,160000,GBP,2025-12-22T12:00:00Z,open,Various office equipment and supplies
ocds-h6vhtk-05dd5b,ocds-h6vhtk-05dd5b,8613 - Veterinary Services and Named Veterinary Surgeon Role,"The University of Stirling is seeking to appoint a supplier to provide NVS cover for our aquarium facilities as described in the RCVS NVS guidelines, in addition to broader veterinary clinical care, including supply of prescriptions and treatments, as required.",active,University of Stirling,,,2025-12-11T12:00:00Z,open,Veterinary services
